"Acreedores por arrendamiento financiero","Creditors per arrendament financer a llarg termini","174"
"Efectos a pagar","Efectes a pagar a llarg termini","175"
"Pasivos por derivados financieros","Passius per derivats financers a llarg termini","176"
"Pasivos por derivados financieros, carter de negociación","Passius per derivats financers a llarg termini, cartera de negociació","1765"
"Pasivos por derivados financieros, instrumentos de cobertura","Passius per derivats financers a llarg termini, instruments de cobertura","1768"
"Obligaciones y bonos","Obligacions i bons","177"
"Obligaciones y bonos convertibles","Obligacions i bons convertibles","178"
"Deudas representadas en otros valores negociables","Deutes representats en altres valors negociables","179"
"Pasivos por fianzas, garantías y otros conceptos","Passius per fiances, garanties i altres conceptes a llarg termini","18"
"Fianzas recibidas","Fiances rebudes a llarg termini","180"
"Anticipos recibidos por ventas o prestaciones de servicios","Bestretes rebudes per vendes o prestacions de serveis a llarg termini","181"
"Depósitos recibidos","Dipòsits rebuts a llarg termini","185"
"Garantías financieras","Garanties financeres a llarg termini","189"
"Situaciones transitorias de financiación","Situacions transitòries de finançament","19"
"Acciones o participaciones emitidas","Accions o participacions emeses","190"
"Suscriptores de acciones","Subscriptors d'accions","192"
"Capital emitido pendiente de inscripción","Capital emès pendent d'inscripció","194"
"Acciones o participaciones emitidas consideradas como pasivos financieros","Accions o participacions emeses considerades com a passius financers","195"
"Suscriptores de acciones consideradas como pasivos financieros","Subscriptors d'accions considerades com a passius financers","197"
"Acciones o participaciones emitidas consideradas como pasivos financieros pendientes de inscripción","Accions o participacions emeses considerades com a passius financers pendents d'inscripció","199"
"Activo no corriente","Actiu no corrent","2"
"Inmovilizaciones intangibles","Immobilitzacions intangibles","20"
"Investigación","Investigació","200"
"Desarrollo","Desenvolupament","201"
"Concesiones administrativas","Concessions administratives","202"
"Propiedad industrial","Propietat industrial","203"
"Fondo de comercio","Fons de comerç","204"
"Derechos de traspaso","Drets de traspàs","205"
"Aplicaciones informáticas","Aplicacions informàtiques","206"
"Anticipos para inmovilizaciones intangibles","Bestretes per a immobilitzacions intangibles","209"
"Inmovilizaciones materiales","Immobilitzacions materials","21"
"Terrenos y bienes naturales","Terrenys i béns naturals","210"
"Construcciones","Construccions","211"
"Instalaciones técnicas","Instal·lacions tècniques","212"
"Maquinaria","Maquinària","213"
"Utillaje","Utillatge","214"
"Otras instalaciones","Altres instal·lacions","215"
"Mobiliario","Mobiliari","216"
"Equipos para proceso de información","Equips per a processos d'informació","217"
"Elementos de transporte","Elements de transport","218"
"Otro inmovilizado material","Altre immobilitzat material","219"
"Inversiones inmobiliarias","Inversions immobiliàries","22"
"Inversiones en terrenos y bienes naturales","Inversions en terrenys i béns naturals","220"
"Inversiones en construcciones","Inversions en construccions","221"
"Inmovilizaciones materiales en curso","Immobilitzacions materials en curs","23"
"Adaptación de terrenos y bienes naturales","Adaptació de terrenys i béns naturals","230"
"Construcciones en curso","Construccions en curs","231"
"Instalaciones técnicas en montaje","Instal·lacions tècniques en muntatge","232"
"Maquinaria en montaje","Maquinària en muntatge","233"
"Equipos para procesos de información en montaje","Equips per a processos d'informació en muntatge","237"
"Anticipos para inmovilizaciones materiales","Bestretes per a immobilitzacions materials","239"
"Inversiones financieras en partes vinculadas","Inversions financeres a llarg termini en parts vinculades","24"
"Participaciones en partes vinculadas","Participacions a llarg termini en parts vinculades","240"
"Participaciones en empresas del grupo","Participacions a llarg termini en empreses del grup","2403"
"Participaciones en empresas asociadas","Participacions a llarg termini en empreses associades","2404"
"Participaciones en otras partes vinculadas","Participacions a llarg termini  en altres parts vinculades","2405"
"Valores representativos de deuda de partes vinculadas","Valors representatius de deute a llarg termini de parts vinculades","241"
"Valores representativos de deuda de empresas del grupo","Valors representatius de deute a llarg termini d'empreses del grup","2413"
"Valores representativos de deuda de empresas asociadas","Valors representatius de deute a llarg termini d'empreses associades","2414"
"Valores representativos de deuda de otras partes vinculadas","Valors representatius de deute a llarg termini d'altres parts vinculades","2415"
"Créditos a partes vinculadas","Crèdits a llarg termini a parts vinculades","242"
"Créditos a empresas del grupo","Crèdits a llarg termini a empreses del grup","2423"
"Créditos a empresas asociadas","Crèdits a llarg termini a  empreses associades","2424"
"Créditos a otras partes vinculadas","Crèdits a llarg termini a altres parts vinculades","2425"
"Desembolsos pendientes sobre participaciones en partes vinculadas","Desemborsaments pendents sobre participacions a llarg termini en parts vinculades","249"
"Desembolsos pendientes sobre participaciones en empresas del grupo","Desemborsaments pendents sobre participacions a llarg termini en empreses del grup","2493"
"Desembolsos pendientes sobre participaciones en empresas asociadas","Desemborsaments pendents sobre participacions a llarg termini en empreses associades","2494"
"Desembolsos pendientes sobre participaciones en otras partes vinculadas","Desemborsaments pendents sobre participacions a llarg termini en altres parts vinculades","2495"
"Otras inversiones financieras","Altres inversions financeres a llarg termini","25"
"Inversiones financieras en instrumentos de patrimonio","Inversions financeres a llarg termini en instruments de patrimoni","250"
