"Retenciones IRPF 18% + 7% IVA Soportado (operaciones corrientes)","Retencions IRPF 18% + 7% IVA Suportat (operacions corrents)"
"Retenciones IRPF 18% + 8% IVA Soportado (operaciones corrientes)","Retencions IRPF 18% + 8% IVA Suportat (operacions corrents)"
"Retenciones IRPF 18% + 10% IVA Soportado (operaciones corrientes)","Retencions IRPF 18% + 10% IVA Suportat (operacions corrents)"
"Retenciones IRPF 18% + 16% IVA Soportado (operaciones corrientes)","Retencions IRPF 18% + 16% IVA Suportat (operacions corrents)"
"Retenciones IRPF 18% + 18% IVA Soportado (operaciones corrientes)","Retencions IRPF 18% + 18% IVA Suportat (operacions corrents)"
"Retenciones IRPF 18% + 21% IVA Soportado (operaciones corrientes)","Retencions IRPF 18% + 21% IVA Suportat (operacions corrents)"
"Retenciones IRPF 18% + IVA Soportado exento (bienes de inversión)","Retencions IRPF 18% + IVA Suportat exempt (béns d'inversió)"
"Retenciones IRPF 18% + 4% IVA Soportado (bienes de inversión)","Retencions IRPF 18% + 4% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 18% + 7% IVA Soportado (bienes de inversión)","Retencions IRPF 18% + 7% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 18% + 8% IVA Soportado (bienes de inversión)","Retencions IRPF 18% + 8% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 18% + 10% IVA Soportado (bienes de inversión)","Retencions IRPF 18% + 10% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 18% + 16% IVA Soportado (bienes de inversión)","Retencions IRPF 18% + 16% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 18% + 18% IVA Soportado (bienes de inversión)","Retencions IRPF 18% + 18% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 18% + 21% IVA Soportado (bienes de inversión)","Retencions IRPF 18% + 21% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 19% + IVA Soportado exento (operaciones corrientes)","Retencions IRPF 19% + IVA Suportat exempt (operacions corrents)"
"Retenciones IRPF 19%","Retencions IRPF 19%"
"Retenciones IRPF 19% + 4% IVA Soportado (operaciones corrientes)","Retencions IRPF 19% + 4% IVA Suportat (operacions corrents)"
